"sample_id" "condition" "gene_name" "gene_usage_count"
"6N_S20" "N" "IGHV3-20" 56
"6N_S20" "N" "IGHV3-21" 124
"6N_S20" "N" "IGHV3-23" 1106
"6N_S20" "N" "IGHV3-30" 161
"6N_S20" "N" "IGHV3-30-3" 36
"6N_S20" "N" "IGHV3-33" 48
"6N_S20" "N" "IGHV3-35" 2
"6N_S20" "N" "IGHV3-43" 104
"6N_S20" "N" "IGHV3-43D" 1
"6N_S20" "N" "IGHV3-47" 5
"6N_S20" "N" "IGHV3-48" 128
"6N_S20" "N" "IGHV3-49" 11
"6N_S20" "N" "IGHV3-52" 4
"6N_S20" "N" "IGHV3-53" 48
"6N_S20" "N" "IGHV3-64" 29
"6N_S20" "N" "IGHV3-66" 7
"6N_S20" "N" "IGHV3-69-1" 7
"6N_S20" "N" "IGHV3-7" 178
"6N_S20" "N" "IGHV3-72" 18
"6N_S20" "N" "IGHV3-73" 15
"6N_S20" "N" "IGHV3-74" 126
"6N_S20" "N" "IGHV3-9" 97
"6N_S20" "N" "IGHV4-30-2" 40
"6N_S20" "N" "IGHV4-30-4" 7
"6N_S20" "N" "IGHV4-31" 44
"6N_S20" "N" "IGHV4-34" 100
"6N_S20" "N" "IGHV4-38-2" 6
"6N_S20" "N" "IGHV4-39" 394
"6N_S20" "N" "IGHV4-4" 34
"6N_S20" "N" "IGHV4-59" 198
"6N_S20" "N" "IGHV4-61" 59
"6N_S20" "N" "IGHV4/OR15-8" 3
"6N_S20" "N" "IGHV5-10-1" 3
"6N_S20" "N" "IGHV5-51" 37
"6N_S20" "N" "IGHV6-1" 20
"8B_S2" "B" "IGHV1-18" 433
"8B_S2" "B" "IGHV1-2" 330
"8B_S2" "B" "IGHV1-24" 5
"8B_S2" "B" "IGHV1-3" 96
"8B_S2" "B" "IGHV1-46" 212
"8B_S2" "B" "IGHV1-58" 22
"8B_S2" "B" "IGHV1-69" 240
"8B_S2" "B" "IGHV1-69-2" 1
"8B_S2" "B" "IGHV1-8" 129
