"sample_id" "condition" "gene_name" "gene_usage_count"
"Pt11" "hcv" "IGHV3-47" 3
"Pt11" "hcv" "IGHV3-66" 51
"Pt11" "hcv" "IGHV1-69-2" 0
"Pt11" "hcv" "IGHV7-81" 0
"Pt11" "hcv" "IGHV2-70D" 0
"Pt11" "hcv" "IGHV3-38" 0
"Pt11" "hcv" "IGHV4-61" 36
"Pt11" "hcv" "IGHV3-53" 53
"Pt11" "hcv" "IGHV4-38-2" 0
"Pt11" "hcv" "IGHV5-51" 83
"Pt11" "hcv" "IGHV3-64" 12
"Pt11" "hcv" "IGHV4-4" 68
"Pt11" "hcv" "IGHV3-19" 1
"Pt11" "hcv" "IGHV1-2" 76
"Pt11" "hcv" "IGHV1-69" 98
"Pt11" "hcv" "IGHV3-20" 29
"Pt11" "hcv" "IGHV3-48" 72
"Pt11" "hcv" "IGHV4-59" 207
"Pt11" "hcv" "IGHV3-7" 113
"Pt11" "hcv" "IGHV3-49" 31
"Pt11" "hcv" "IGHV3-11" 147
"Pt11" "hcv" "IGHV3-38-3" 0
"Pt11" "hcv" "IGHV3-52" 0
"Pt11" "hcv" "IGHV3-72" 23
"Pt11" "hcv" "IGHV4-39" 171
"Pt11" "hcv" "IGHV3-73" 25
"Pt11" "hcv" "IGHV3-30-3" 45
"Pt11" "hcv" "IGHV4-55" 0
"Pt11" "hcv" "IGHV3-33" 130
